invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I197462,C100496,Shoes,2,1200.34,06-06-2022,Kanyon
I154490,C100507,Clothing,5,1500.4,24-01-2022,Mall of Istanbul
I187525,C100508,Clothing,3,900.24,16-12-2022,Kanyon
I710717,C100515,Toys,4,143.36,12-04-2022,Kanyon
I278019,C100519,Clothing,2,600.16,27-03-2021,Cevahir AVM
I747114,C100521,Toys,3,107.52,10-08-2022,Mall of Istanbul
I256489,C100523,Clothing,4,1200.32,15-06-2021,Kanyon
I207201,C100525,Clothing,2,600.16,02-04-2022,Metrocity
I149081,C100529,Food & Beverage,3,15.69,15-02-2022,Metropol AVM
I117325,C100535,Toys,1,35.84,29-12-2021,Emaar Square Mall
I146525,C100539,Souvenir,5,58.65,15-08-2021,Metrocity
I718931,C100540,Food & Beverage,2,10.46,05-02-2022,Istinye Park
I101316,C100544,Cosmetics,3,121.98,24-06-2022,Metrocity
I339222,C100545,Technology,4,4200,07-01-2023,Mall of Istanbul
I327336,C100549,Cosmetics,5,203.3,19-12-2022,Kanyon
I289284,C100551,Technology,1,1050,05-01-2023,Kanyon
I125590,C100561,Shoes,4,2400.68,23-01-2023,Metropol AVM
I164722,C100563,Clothing,1,300.08,27-04-2022,Zorlu Center
I286535,C100570,Clothing,5,1500.4,30-01-2021,Metrocity
I279842,C100572,Clothing,3,900.24,11-06-2022,Metropol AVM
I176976,C100574,Clothing,2,600.16,24-03-2022,Kanyon
I879300,C100576,Clothing,4,1200.32,12-04-2022,Metropol AVM
I988395,C100579,Cosmetics,3,121.98,23-09-2022,Viaport Outlet
I213059,C100587,Toys,2,71.68,08-05-2022,Kanyon
I212239,C100599,Clothing,5,1500.4,28-10-2021,Kanyon
I350054,C100605,Food & Beverage,5,26.15,10-07-2021,Metrocity
I295088,C100606,Clothing,4,1200.32,16-06-2022,Forum Istanbul
I331280,C100607,Technology,5,5250,21-07-2021,Istinye Park
I296283,C100610,Clothing,1,300.08,27-04-2021,Kanyon
I175358,C100622,Toys,2,71.68,22-03-2021,Forum Istanbul
I327897,C100625,Souvenir,1,11.73,23-01-2022,Mall of Istanbul
I120356,C100629,Toys,5,179.2,31-01-2021,Mall of Istanbul
I930504,C100630,Shoes,3,1800.51,05-01-2021,Metropol AVM
I261615,C100636,Toys,5,179.2,05-07-2021,Mall of Istanbul
I677325,C100639,Clothing,3,900.24,25-07-2021,Emaar Square Mall
I186537,C100640,Clothing,2,600.16,23-02-2022,Metropol AVM
I150133,C100642,Shoes,2,1200.34,12-02-2021,Emaar Square Mall
I249875,C100648,Clothing,3,900.24,07-04-2021,Kanyon
I246453,C100651,Technology,1,1050,10-02-2022,Kanyon
I333901,C100654,Clothing,3,900.24,06-11-2022,Mall of Istanbul
I334166,C100655,Cosmetics,2,81.32,21-04-2021,Mall of Istanbul
I310194,C100656,Clothing,5,1500.4,09-01-2022,Kanyon
I442109,C100657,Souvenir,4,46.92,30-01-2021,Zorlu Center
I171884,C100661,Shoes,3,1800.51,25-07-2021,Cevahir AVM
I865759,C100663,Food & Beverage,1,5.23,04-12-2021,Metrocity
I233680,C100666,Toys,2,71.68,11-05-2021,Mall of Istanbul
I205401,C100671,Clothing,2,600.16,21-03-2022,Cevahir AVM
I856190,C100672,Clothing,5,1500.4,17-05-2022,Mall of Istanbul
I885979,C100676,Clothing,3,900.24,04-07-2021,Metrocity
I810217,C100677,Clothing,3,900.24,14-01-2022,Metrocity
I499170,C100684,Toys,1,35.84,20-02-2022,Kanyon
I792963,C100687,Clothing,5,1500.4,18-06-2022,Emaar Square Mall
I311151,C100688,Souvenir,3,35.19,27-04-2022,Mall of Istanbul
I219282,C100690,Shoes,4,2400.68,12-04-2021,Istinye Park
I345856,C100691,Shoes,1,600.17,18-07-2022,Kanyon
I119121,C100694,Food & Beverage,4,20.92,04-12-2021,Mall of Istanbul
I223552,C100696,Shoes,3,1800.51,24-09-2022,Cevahir AVM
I238961,C100697,Cosmetics,5,203.3,08-06-2021,Forum Istanbul
I200890,C100703,Cosmetics,5,203.3,29-01-2023,Kanyon
I331913,C100705,Clothing,2,600.16,30-11-2021,Mall of Istanbul
I933623,C100706,Shoes,3,1800.51,24-01-2022,Mall of Istanbul
I169199,C100709,Shoes,5,3000.85,12-03-2022,Viaport Outlet
I214356,C100710,Books,4,60.6,03-12-2021,Metropol AVM
I293617,C100713,Technology,3,3150,13-01-2023,Metrocity
I324223,C100718,Toys,4,143.36,07-05-2022,Metrocity
I623222,C100720,Clothing,3,900.24,07-03-2023,Mall of Istanbul
I949680,C100722,Souvenir,1,11.73,16-09-2022,Viaport Outlet
I118780,C100725,Clothing,1,300.08,23-01-2022,Metrocity
I193992,C100728,Clothing,1,300.08,15-04-2022,Kanyon
I296448,C100735,Cosmetics,4,162.64,20-06-2021,Kanyon
I165058,C100736,Clothing,1,300.08,14-12-2022,Istinye Park
I187124,C100743,Toys,3,107.52,28-02-2022,Mall of Istanbul
I221879,C100745,Technology,4,4200,22-01-2022,Cevahir AVM
I787705,C100746,Toys,2,71.68,05-06-2022,Mall of Istanbul
I154767,C100748,Shoes,1,600.17,10-01-2022,Metropol AVM
I615860,C100753,Food & Beverage,2,10.46,14-05-2022,Mall of Istanbul
I524287,C100754,Cosmetics,4,162.64,09-10-2022,Kanyon
I176464,C100758,Clothing,3,900.24,03-02-2022,Istinye Park
I667165,C100760,Clothing,4,1200.32,13-12-2022,Kanyon
I806470,C100764,Clothing,3,900.24,22-09-2022,Cevahir AVM
I225798,C100765,Cosmetics,1,40.66,09-10-2021,Forum Istanbul
I259932,C100768,Food & Beverage,3,15.69,13-07-2022,Metropol AVM
I209301,C100772,Clothing,4,1200.32,25-03-2021,Zorlu Center
I128688,C100778,Shoes,1,600.17,23-06-2022,Zorlu Center
I137969,C100782,Shoes,3,1800.51,17-03-2021,Zorlu Center
I167244,C100783,Food & Beverage,2,10.46,29-07-2022,Viaport Outlet
I220889,C100786,Clothing,2,600.16,05-03-2022,Kanyon
I668801,C100787,Cosmetics,4,162.64,22-12-2021,Kanyon
I277918,C100794,Cosmetics,1,40.66,15-03-2021,Metrocity
I782764,C100795,Books,4,60.6,15-09-2021,Mall of Istanbul
I256866,C100797,Shoes,3,1800.51,11-12-2022,Mall of Istanbul
I317397,C100799,Cosmetics,2,81.32,28-04-2022,Kanyon
I226056,C100801,Cosmetics,5,203.3,04-03-2023,Forum Istanbul
I136277,C100804,Cosmetics,1,40.66,01-03-2023,Mall of Istanbul
I392545,C100812,Technology,3,3150,21-02-2022,Kanyon
I123659,C100816,Food & Beverage,5,26.15,16-04-2022,Cevahir AVM
I313621,C100822,Clothing,5,1500.4,22-12-2021,Zorlu Center
I180691,C100828,Clothing,1,300.08,22-01-2023,Zorlu Center
I750463,C100833,Toys,5,179.2,19-07-2022,Cevahir AVM
I876512,C100840,Clothing,4,1200.32,04-12-2021,Mall of Istanbul
I249823,C100841,Clothing,2,600.16,02-02-2022,Mall of Istanbul
I150275,C100843,Toys,3,107.52,21-01-2023,Metrocity
I252395,C100844,Shoes,2,1200.34,26-02-2022,Metropol AVM
I119087,C100849,Clothing,1,300.08,15-12-2022,Cevahir AVM
I159033,C100851,Clothing,3,900.24,07-08-2022,Metrocity
I232243,C100852,Food & Beverage,5,26.15,18-10-2022,Metropol AVM
I741322,C100854,Clothing,1,300.08,14-08-2021,Kanyon
I156685,C100857,Shoes,4,2400.68,23-06-2022,Forum Istanbul
I215239,C100867,Clothing,4,1200.32,02-09-2022,Metrocity
I854651,C100869,Toys,3,107.52,28-04-2021,Metrocity
I304249,C100879,Clothing,5,1500.4,21-06-2021,Mall of Istanbul
I270773,C100885,Food & Beverage,4,20.92,08-02-2022,Metropol AVM
I812677,C100894,Clothing,2,600.16,08-03-2023,Metrocity
I191020,C100895,Souvenir,1,11.73,22-07-2021,Zorlu Center
I118242,C100899,Cosmetics,3,121.98,13-10-2021,Kanyon
I201316,C100900,Cosmetics,2,81.32,05-11-2021,Metropol AVM
I773473,C100901,Shoes,5,3000.85,19-04-2022,Mall of Istanbul
I405372,C100902,Shoes,1,600.17,02-10-2021,Kanyon
I281034,C100910,Shoes,3,1800.51,29-07-2022,Zorlu Center
I106658,C100911,Clothing,4,1200.32,03-07-2021,Mall of Istanbul
I722060,C100919,Books,2,30.3,17-12-2021,Metrocity
I328722,C100921,Toys,4,143.36,16-04-2021,Istinye Park
I252448,C100926,Technology,2,2100,20-07-2021,Emaar Square Mall
I267736,C100931,Clothing,1,300.08,11-08-2022,Mall of Istanbul
I611842,C100935,Clothing,4,1200.32,28-02-2022,Cevahir AVM
I224674,C100936,Clothing,3,900.24,23-10-2021,Istinye Park
I847753,C100940,Clothing,2,600.16,02-03-2022,Kanyon
I138090,C100941,Clothing,4,1200.32,27-03-2022,Cevahir AVM
I166083,C100944,Clothing,2,600.16,06-10-2021,Kanyon
I170367,C100948,Cosmetics,3,121.98,09-09-2022,Istinye Park
I235745,C100952,Clothing,3,900.24,29-07-2022,Mall of Istanbul
I172472,C100955,Souvenir,3,35.19,04-01-2023,Mall of Istanbul
I202433,C100960,Food & Beverage,1,5.23,21-07-2021,Emaar Square Mall
I391178,C100962,Food & Beverage,2,10.46,14-01-2022,Mall of Istanbul
I771777,C100966,Cosmetics,4,162.64,29-11-2022,Emaar Square Mall
I750306,C100978,Clothing,1,300.08,26-10-2021,Metrocity
I144079,C100979,Clothing,4,1200.32,08-08-2022,Forum Istanbul
I207430,C100980,Clothing,5,1500.4,28-03-2021,Forum Istanbul
I167047,C100986,Clothing,4,1200.32,04-06-2021,Mall of Istanbul
I854493,C100987,Food & Beverage,3,15.69,20-10-2021,Kanyon
I311138,C100994,Cosmetics,5,203.3,06-03-2021,Mall of Istanbul
I333816,C101001,Clothing,2,600.16,11-03-2022,Cevahir AVM
I192577,C101002,Clothing,4,1200.32,11-01-2021,Metrocity
I275527,C101004,Shoes,2,1200.34,16-08-2022,Viaport Outlet
I229143,C101010,Shoes,5,3000.85,29-05-2021,Cevahir AVM
I229252,C101014,Clothing,1,300.08,04-07-2021,Emaar Square Mall
I206464,C101018,Clothing,1,300.08,10-10-2021,Kanyon
I308179,C101024,Clothing,5,1500.4,21-08-2022,Metropol AVM
I366466,C101027,Food & Beverage,1,5.23,16-03-2021,Viaport Outlet
I848049,C101034,Souvenir,2,23.46,18-11-2022,Kanyon
I633847,C101035,Books,3,45.45,09-01-2021,Metrocity
I325652,C101038,Clothing,2,600.16,03-01-2021,Forum Istanbul
I119353,C101041,Technology,4,4200,12-06-2021,Metropol AVM
I312942,C101045,Shoes,2,1200.34,24-02-2021,Metropol AVM
I185942,C101052,Cosmetics,1,40.66,24-05-2022,Forum Istanbul
I214504,C101054,Food & Beverage,5,26.15,21-03-2022,Kanyon
I610014,C101055,Books,5,75.75,02-06-2022,Kanyon
I111549,C101061,Clothing,2,600.16,12-06-2022,Metrocity
I109898,C101064,Clothing,2,600.16,01-06-2022,Mall of Istanbul
I904168,C101067,Clothing,4,1200.32,05-12-2022,Emaar Square Mall
I281908,C101068,Toys,5,179.2,03-03-2023,Viaport Outlet
I535564,C101069,Clothing,4,1200.32,23-10-2021,Emaar Square Mall
I193767,C101071,Clothing,5,1500.4,27-05-2022,Cevahir AVM
I869868,C101072,Shoes,1,600.17,08-02-2021,Metrocity
I167097,C101074,Clothing,2,600.16,25-09-2021,Metrocity
I801824,C101078,Food & Beverage,1,5.23,06-08-2022,Istinye Park
I267092,C101079,Cosmetics,5,203.3,05-11-2021,Mall of Istanbul
I327492,C101080,Clothing,5,1500.4,10-07-2022,Metrocity
I278232,C101082,Food & Beverage,2,10.46,13-08-2021,Mall of Istanbul
I157299,C101084,Cosmetics,3,121.98,15-06-2021,Kanyon
I246974,C101089,Food & Beverage,4,20.92,16-10-2022,Kanyon
I199566,C101095,Cosmetics,4,162.64,06-08-2021,Viaport Outlet
I296965,C101097,Cosmetics,5,203.3,07-07-2022,Viaport Outlet
I663488,C101099,Food & Beverage,3,15.69,15-04-2022,Istinye Park
I153143,C101100,Clothing,3,900.24,26-03-2021,Metropol AVM
I128518,C101108,Shoes,1,600.17,06-09-2021,Mall of Istanbul
I263652,C101115,Cosmetics,3,121.98,27-12-2021,Mall of Istanbul
I239579,C101116,Clothing,2,600.16,15-11-2022,Mall of Istanbul
I229188,C101117,Souvenir,3,35.19,23-11-2021,Metropol AVM
I331023,C101119,Toys,4,143.36,04-04-2021,Kanyon
I306668,C101120,Clothing,2,600.16,20-06-2021,Mall of Istanbul
I293677,C101125,Clothing,4,1200.32,30-09-2022,Metropol AVM
I283763,C101131,Toys,3,107.52,21-10-2022,Metropol AVM
I306027,C101132,Souvenir,2,23.46,30-11-2022,Zorlu Center
I234321,C101133,Books,2,30.3,14-02-2023,Metrocity
I233819,C101134,Technology,3,3150,17-02-2023,Forum Istanbul
I278721,C101135,Technology,3,3150,15-02-2023,Kanyon
I407285,C101136,Food & Beverage,5,26.15,31-01-2022,Kanyon
I138802,C101137,Toys,2,71.68,13-07-2022,Forum Istanbul
I766618,C101138,Cosmetics,3,121.98,28-12-2022,Mall of Istanbul
I177188,C101143,Clothing,5,1500.4,04-01-2023,Istinye Park
I290214,C101154,Souvenir,4,46.92,30-01-2023,Mall of Istanbul
I143101,C101173,Cosmetics,2,81.32,16-09-2022,Emaar Square Mall
I292557,C101188,Shoes,1,600.17,06-05-2022,Kanyon
I313426,C101196,Cosmetics,4,162.64,05-04-2022,Kanyon
I689544,C101204,Clothing,1,300.08,26-10-2022,Metrocity
I186257,C101205,Clothing,4,1200.32,04-11-2022,Istinye Park
I174150,C101206,Souvenir,2,23.46,14-09-2021,Emaar Square Mall
I473000,C101208,Cosmetics,1,40.66,01-12-2022,Mall of Istanbul
I801808,C101209,Technology,3,3150,09-12-2021,Metrocity
I252641,C101210,Technology,2,2100,08-07-2021,Istinye Park
I302682,C101212,Cosmetics,2,81.32,08-01-2021,Mall of Istanbul
I145775,C101216,Technology,5,5250,10-05-2022,Metropol AVM
I277659,C101217,Food & Beverage,2,10.46,06-03-2022,Viaport Outlet
I202557,C101220,Clothing,5,1500.4,07-03-2021,Istinye Park
I401326,C101221,Cosmetics,3,121.98,26-02-2023,Metropol AVM
I180425,C101222,Clothing,4,1200.32,27-03-2021,Mall of Istanbul
I248625,C101225,Shoes,2,1200.34,25-10-2022,Mall of Istanbul
I328149,C101227,Clothing,3,900.24,03-12-2022,Istinye Park
I283822,C101229,Clothing,1,300.08,21-01-2023,Forum Istanbul
I293784,C101235,Clothing,4,1200.32,13-11-2021,Metropol AVM
I142634,C101236,Clothing,1,300.08,23-03-2022,Cevahir AVM
I690685,C101238,Books,1,15.15,22-11-2022,Zorlu Center
I298805,C101248,Food & Beverage,3,15.69,29-06-2021,Kanyon
I181048,C101249,Souvenir,2,23.46,11-12-2022,Istinye Park
I185033,C101250,Food & Beverage,5,26.15,24-11-2022,Mall of Istanbul
I156025,C101251,Cosmetics,1,40.66,14-07-2021,Metrocity
I335144,C101253,Clothing,5,1500.4,26-01-2023,Emaar Square Mall
I195489,C101259,Souvenir,2,23.46,04-03-2021,Metrocity
I526892,C101261,Cosmetics,5,203.3,10-09-2022,Zorlu Center
I146277,C101271,Food & Beverage,4,20.92,24-12-2021,Kanyon
I126126,C101278,Clothing,3,900.24,19-01-2023,Metrocity
I178719,C101285,Cosmetics,2,81.32,07-11-2021,Cevahir AVM
I171742,C101287,Clothing,1,300.08,11-01-2022,Mall of Istanbul
I464430,C101288,Toys,3,107.52,09-06-2022,Metropol AVM
I975571,C101290,Food & Beverage,3,15.69,15-04-2022,Cevahir AVM
I282244,C101294,Shoes,3,1800.51,19-11-2021,Istinye Park
I138516,C101295,Food & Beverage,2,10.46,10-02-2021,Istinye Park
I286072,C101301,Shoes,1,600.17,28-04-2021,Viaport Outlet
I262359,C101303,Shoes,3,1800.51,03-03-2021,Istinye Park
I268103,C101307,Toys,5,179.2,19-02-2023,Cevahir AVM
I127619,C101308,Clothing,4,1200.32,07-09-2022,Metropol AVM
I314103,C101314,Cosmetics,5,203.3,09-10-2021,Emaar Square Mall
I784788,C101316,Clothing,4,1200.32,17-09-2021,Metrocity
I293665,C101318,Toys,5,179.2,31-01-2023,Cevahir AVM
I288567,C101320,Shoes,5,3000.85,30-01-2023,Viaport Outlet
I314713,C101327,Shoes,4,2400.68,03-06-2022,Viaport Outlet
I124407,C101329,Cosmetics,2,81.32,28-07-2021,Mall of Istanbul
I272296,C101337,Clothing,4,1200.32,06-12-2022,Mall of Istanbul
I221974,C101343,Toys,1,35.84,14-03-2021,Kanyon
I881246,C101344,Technology,5,5250,28-02-2022,Viaport Outlet
I301089,C101347,Books,2,30.3,07-06-2021,Kanyon
I311791,C101351,Souvenir,2,23.46,13-10-2022,Mall of Istanbul
I233415,C101356,Clothing,1,300.08,02-03-2023,Istinye Park
I150708,C101359,Clothing,4,1200.32,02-11-2022,Metropol AVM
I193826,C101362,Toys,4,143.36,08-12-2021,Zorlu Center
I313495,C101363,Clothing,1,300.08,24-07-2022,Mall of Istanbul
I507505,C101364,Clothing,4,1200.32,05-10-2022,Mall of Istanbul
I326880,C101365,Food & Beverage,5,26.15,20-06-2021,Emaar Square Mall
I329034,C101367,Cosmetics,2,81.32,01-07-2022,Metrocity
I256579,C101368,Clothing,1,300.08,11-05-2022,Kanyon
