customer_id,gender,age,payment_method
C101209,Female,46,Debit Card
C101210,Female,44,Credit Card
C101212,Male,35,Credit Card
C101216,Male,68,Cash
C101217,Female,41,Credit Card
C101220,Female,24,Debit Card
C101221,Male,39,Cash
C101222,Female,62,Credit Card
C101225,Female,38,Credit Card
C101227,Female,30,Cash
C101229,Female,61,Debit Card
C101235,Female,46,Cash
C101236,Male,66,Cash
C101238,Female,22,Credit Card
C101248,Female,19,Credit Card
C101249,Female,60,Cash
C101250,Female,40,Debit Card
C101251,Male,49,Credit Card
C101253,Female,53,Debit Card
C101259,Female,60,Credit Card
C101261,Female,31,Debit Card
C101271,Female,37,Credit Card
C101278,Female,59,Cash
C101285,Female,37,Credit Card
C101287,Male,64,Credit Card
C101288,Female,50,Cash
C101290,Male,47,Cash
C101294,Female,28,Cash
C101295,Male,31,Credit Card
C101301,Female,65,Cash
C101303,Female,31,Cash
C101307,Female,25,Cash
C101308,Female,37,Credit Card
C101314,Female,31,Credit Card
C101316,Male,24,Cash
C101318,Male,36,Credit Card
C101320,Female,27,Cash
C101327,Male,52,Debit Card
C101329,Female,36,Debit Card
C101337,Female,49,Credit Card
C101343,Female,49,Cash
C101344,Female,31,Cash
C101347,Male,37,Credit Card
C101351,Female,56,Cash
C101356,Female,32,Credit Card
C101359,Female,42,Credit Card
C101362,Female,30,Cash
C101363,Male,64,Credit Card
C101364,Female,61,Debit Card
C101365,Female,35,Credit Card
C101367,Female,18,Cash
C101368,Female,68,Cash
C101370,Male,21,Credit Card
C101375,Male,48,Cash
C101377,Male,27,Cash
C101382,Female,53,Cash
C101384,Male,19,Cash
C101386,Female,18,Credit Card
C101391,Female,49,Cash
C101393,Male,60,Credit Card
C101397,Female,25,Credit Card
C101401,Male,30,Debit Card
C101404,Female,54,Cash
C101405,Female,20,Credit Card
C101406,Female,41,Credit Card
C101407,Male,48,Cash
C101410,Female,32,Credit Card
C101411,Female,24,Cash
C101412,Female,30,Debit Card
C101413,Male,40,Debit Card
C101414,Male,59,Cash
C101419,Female,45,Cash
C101420,Male,31,Cash
C101422,Male,18,Cash
C101423,Female,35,Cash
C101425,Female,30,Cash
C101427,Male,32,Credit Card
C101428,Female,22,Cash
C101429,Female,46,Credit Card
C101432,Male,30,Cash
C101433,Female,40,Credit Card
C101438,Female,54,Cash
C101451,Male,54,Debit Card
C101452,Female,31,Credit Card
C101466,Female,46,Debit Card
C101471,Female,44,Credit Card
C101472,Female,57,Credit Card
C101475,Female,53,Credit Card
C101478,Male,19,Credit Card
C101482,Male,23,Debit Card
C101484,Male,42,Cash
C101489,Male,60,Credit Card
C101494,Female,69,Cash
C101503,Female,24,Cash
C101508,Female,60,Cash
C101509,Female,23,Debit Card
C101518,Female,52,Credit Card
C101521,Female,69,Credit Card
C101522,Female,55,Credit Card
C101523,Male,60,Credit Card
C101525,Female,53,Cash
C101526,Female,33,Cash
C101527,Male,67,Credit Card
C101529,Male,49,Debit Card
C101531,Female,62,Cash
C101537,Female,46,Cash
C101541,Male,53,Cash
C101543,Female,69,Credit Card
C101545,Female,58,Credit Card
C101546,Female,42,Cash
C101550,Male,35,Cash
C101556,Female,47,Credit Card
C101558,Male,35,Cash
C101559,Male,63,Credit Card
C101560,Female,20,Credit Card
C101561,Male,49,Debit Card
C101564,Female,40,Cash
C101566,Female,62,Cash
C101568,Female,23,Credit Card
C101575,Female,68,Cash
C101576,Male,41,Cash
C101579,Male,59,Debit Card
C101580,Male,48,Debit Card
C101584,Female,36,Cash
C101594,Male,67,Cash
C101595,Female,22,Credit Card
C101600,Female,39,Debit Card
C101605,Male,39,Cash
C101610,Female,65,Credit Card
C101612,Female,37,Cash
C101618,Female,49,Debit Card
C101624,Male,57,Cash
C101629,Female,20,Debit Card
C101633,Male,25,Credit Card
C101640,Female,46,Cash
C101643,Female,37,Cash
C101646,Male,68,Debit Card
C101647,Female,47,Cash
C101651,Female,50,Debit Card
C101652,Female,41,Credit Card
C101654,Female,28,Cash
C101655,Female,50,Debit Card
C101656,Male,21,Cash
C101657,Female,64,Debit Card
C101662,Female,46,Cash
C101663,Female,41,Debit Card
C101666,Female,50,Debit Card
C101667,Female,23,Cash
C101669,Male,61,Cash
C101672,Female,27,Cash
C101673,Female,40,Credit Card
C101689,Male,57,Debit Card
C101690,Female,68,Cash
C101691,Female,44,Debit Card
C101693,Male,23,Debit Card
C101694,Female,51,Credit Card
C101695,Female,18,Credit Card
C101697,Male,54,Credit Card
C101709,Male,68,Credit Card
C101710,Female,33,Credit Card
C101711,Male,31,Cash
C101716,Female,26,Cash
C101723,Male,24,Cash
C101725,Male,61,Cash
C101726,Male,59,Debit Card
C101733,Male,44,Cash
C101737,Male,26,Debit Card
C101742,Male,20,Debit Card
C101743,Female,35,Credit Card
C101744,Male,62,Debit Card
C101746,Female,66,Debit Card
C101747,Female,47,Cash
C101751,Male,32,Cash
C101755,Female,56,Cash
C101756,Male,24,Cash
C101757,Female,58,Cash
C101758,Male,21,Debit Card
C101764,Male,66,Credit Card
C101767,Male,40,Cash
C101768,Female,63,Credit Card
C101770,Female,64,Cash
C101771,Female,48,Cash
C101773,Male,54,Credit Card
C101775,Female,49,Credit Card
C101776,Female,56,Credit Card
C101779,Male,27,Credit Card
C101781,Female,26,Credit Card
C101786,Female,59,Credit Card
C101788,Female,66,Credit Card
C101790,Female,65,Credit Card
C101791,Male,37,Credit Card
C101793,Female,52,Credit Card
C101803,Male,33,Cash
C101806,Female,31,Cash
C101810,Female,45,Cash
C101817,Male,45,Cash
C101818,Female,56,Cash
C101820,Male,28,Debit Card
C101822,Female,54,Cash
C101824,Female,22,Credit Card
C101833,Male,69,Credit Card
C101835,Male,29,Cash
C101839,Male,49,Cash
C101843,Female,18,Cash
C101845,Female,28,Cash
C101852,Female,55,Debit Card
C101853,Male,38,Cash
C101855,Male,52,Credit Card
C101856,Female,38,Cash
C101863,Female,68,Debit Card
C101866,Male,66,Credit Card
C101871,Male,22,Credit Card
C101875,Female,57,Debit Card
C101878,Male,39,Cash
C101882,Female,67,Debit Card
C101883,Female,37,Cash
C101885,Female,41,Debit Card
C101886,Female,45,Debit Card
C101893,Male,56,Cash
C101897,Female,60,Cash
C101898,Female,57,Credit Card
C101904,Female,38,Debit Card
C101908,Female,41,Debit Card
C101912,Female,59,Credit Card
C101917,Male,32,Cash
C101919,Female,56,Credit Card
C101921,Female,62,Cash
C101924,Female,29,Cash
C101926,Female,47,Cash
C101929,Female,21,Credit Card
C101932,Female,27,Credit Card
C101939,Female,52,Credit Card
C101941,Male,38,Cash
C101946,Male,30,Cash
C101947,Male,40,Cash
C101949,Male,44,Cash
C101953,Female,46,Debit Card
C101956,Female,27,Cash
C101957,Female,34,Cash
C101958,Female,18,Credit Card
C101961,Female,37,Cash
C101965,Female,58,Credit Card
C101967,Female,19,Cash
C101970,Female,67,Cash
C101989,Female,63,Cash
C101991,Female,66,Credit Card
C101995,Female,24,Cash
C101996,Male,55,Cash
C102001,Female,37,Credit Card
C102005,Female,63,Cash
C102006,Male,64,Cash
C102007,Female,30,Credit Card
C102008,Male,50,Cash
C102009,Female,56,Credit Card
C102010,Male,31,Credit Card
C102015,Male,66,Cash
C102021,Female,36,Credit Card
C102024,Female,46,Debit Card
C102029,Female,29,Credit Card
C102030,Male,60,Cash
C102033,Male,38,Cash
C102037,Female,37,Cash
C102043,Female,27,Credit Card
C102047,Female,38,Debit Card
C102058,Male,28,Cash
C102060,Male,68,Debit Card
C102061,Male,48,Cash
C102062,Female,57,Cash
C102063,Female,60,Cash
C102064,Male,43,Credit Card
C102069,Female,21,Cash
C102084,Female,55,Cash
C102085,Male,20,Cash
C102097,Male,65,Cash
C102098,Female,19,Credit Card
C102100,Female,55,Cash
C102101,Female,39,Cash
C102102,Female,32,Debit Card
C102103,Female,56,Credit Card
C102104,Male,30,Credit Card
C102106,Female,33,Credit Card
C102108,Female,25,Cash
C102113,Female,36,Cash
C102114,Male,20,Cash
C102117,Male,30,Credit Card
C102123,Female,25,Cash
C102125,Male,22,Debit Card
C102127,Female,33,Cash
C102130,Female,53,Credit Card
C102131,Female,39,Cash
C102134,Male,38,Debit Card
C102136,Female,60,Debit Card
C102137,Male,63,Debit Card
C102138,Female,38,Credit Card
C102139,Female,26,Credit Card
C102146,Female,68,Cash
C102151,Female,42,Debit Card
C102154,Male,30,Cash
C102156,Male,31,Debit Card
C102158,Female,31,Credit Card
C102159,Female,41,Cash
C102162,Female,37,Cash
C102163,Female,18,Cash
C102164,Female,56,Credit Card
C102168,Male,22,Credit Card
C102174,Male,58,Cash
C102175,Male,43,Debit Card
C102176,Female,43,Credit Card
C102179,Female,59,Cash
C102182,Female,55,Cash
C102193,Female,37,Cash
C102200,Female,67,Cash
C102203,Female,58,Cash
C102204,Male,63,Cash
C102212,Female,65,Credit Card
C102213,Male,69,Cash
C102217,Female,56,Cash
C102224,Male,41,Cash
C102226,Female,27,Debit Card
C102229,Male,61,Debit Card
C102230,Female,44,Cash
C102234,Male,30,Credit Card
C102238,Male,25,Debit Card
C102246,Male,27,Credit Card
C102247,Female,36,Debit Card
C102249,Male,26,Debit Card
C102250,Male,24,Cash
C102255,Female,69,Debit Card
C102259,Female,53,Cash
C102263,Male,26,Cash
C102265,Female,52,Credit Card
C102266,Female,36,Credit Card
C102271,Female,55,Cash
C102272,Male,38,Cash
C102275,Male,41,Credit Card
C102277,Female,32,Cash
C102280,Female,34,Credit Card
C102282,Male,18,Cash
C102283,Male,31,Cash
C102285,Female,56,Cash
C102286,Male,68,Debit Card
C102287,Female,28,Debit Card
C102289,Male,65,Cash
C102293,Male,67,Debit Card
C102294,Male,32,Cash
C102297,Male,68,Cash
C102300,Male,59,Debit Card
C102301,Male,25,Credit Card
C102302,Male,25,Credit Card
C102303,Female,60,Cash
C102305,Male,29,Credit Card
C102312,Female,69,Credit Card
C102313,Male,22,Debit Card
C102318,Male,64,Cash
C102319,Male,26,Cash
C102324,Female,32,Cash
C102327,Male,39,Cash
C102328,Female,42,Credit Card
C102332,Female,39,Credit Card
C102341,Female,53,Cash
C102342,Male,30,Credit Card
C102344,Male,49,Credit Card
C102346,Male,50,Cash
C102353,Female,69,Debit Card
C102354,Male,22,Debit Card
C102355,Female,50,Credit Card
C102357,Female,23,Cash
C102358,Male,43,Cash
C102359,Male,57,Credit Card
C102366,Male,56,Credit Card
C102369,Male,52,Debit Card
C102371,Female,62,Credit Card
C102372,Male,32,Debit Card
C102375,Male,68,Credit Card
C102381,Male,27,Debit Card
C102383,Female,30,Cash
C102398,Male,39,Cash
C102403,Female,56,Cash
C102404,Female,52,Cash
C102405,Female,42,Cash
C102406,Male,30,Credit Card
C102408,Female,27,Credit Card
C102409,Male,20,Cash
C102410,Male,30,Credit Card
C102416,Male,63,Debit Card
C102420,Male,41,Credit Card
C102425,Female,68,Cash
C102426,Male,34,Cash
C102429,Male,40,Cash
C102433,Female,49,Cash
C102441,Male,49,Cash
C102447,Male,26,Debit Card
C102449,Male,22,Credit Card
C102454,Female,42,Debit Card
C102455,Female,19,Cash
C102456,Male,47,Debit Card
C102459,Female,32,Debit Card
C102460,Male,50,Cash
C102461,Male,62,Debit Card
C102467,Female,33,Debit Card
C102468,Female,37,Cash
C102474,Female,64,Credit Card
C102477,Female,42,Cash
C102478,Male,67,Cash
C102488,Female,43,Credit Card
C102489,Male,25,Debit Card
C102492,Female,44,Cash
C102495,Male,55,Cash
C102500,Male,41,Credit Card
C102503,Female,49,Debit Card
C102506,Female,44,Cash
C102508,Female,62,Credit Card
C102510,Male,60,Debit Card
C102511,Female,32,Cash
C102513,Male,58,Credit Card
C102515,Female,28,Cash
C102522,Female,22,Cash
C102524,Female,50,Credit Card
C102527,Female,20,Cash
C102529,Female,61,Cash
C102531,Female,49,Debit Card
C102535,Female,37,Credit Card
C102540,Female,55,Cash
C102542,Female,40,Cash
C102543,Female,29,Credit Card
C102544,Female,49,Credit Card
C102547,Female,26,Cash
C102548,Male,64,Credit Card
C102550,Female,30,Credit Card
C102554,Male,35,Credit Card
C102558,Female,62,Cash
C102559,Female,61,Cash
C102560,Female,54,Cash
C102565,Male,35,Debit Card
C102566,Female,40,Cash
C102567,Male,29,Cash
C102571,Female,68,Debit Card
C102575,Female,48,Cash
C102584,Female,66,Cash
C102585,Male,41,Cash
C102587,Female,19,Credit Card
C102588,Male,42,Cash
C102590,Female,49,Cash
C102592,Female,26,Debit Card
C102596,Female,32,Credit Card
C102597,Male,25,Credit Card
C102599,Female,22,Credit Card
C102600,Male,63,Credit Card
C102604,Male,63,Credit Card
C102606,Female,64,Credit Card
C102607,Male,38,Debit Card
C102615,Female,31,Cash
C102619,Female,19,Credit Card
C102621,Female,32,Cash
C102623,Female,21,Cash
C102625,Female,44,Credit Card
C102634,Female,66,Cash
C102638,Female,54,Credit Card
C102641,Female,30,Cash
C102642,Female,32,Cash
C102646,Female,56,Debit Card
C102647,Male,52,Credit Card
C102650,Male,33,Credit Card
C102652,Male,66,Credit Card
C102656,Male,19,Debit Card
C102664,Female,63,Credit Card
C102665,Female,61,Cash
C102667,Female,19,Debit Card
C102669,Male,57,Credit Card
C102672,Female,60,Cash
C102678,Female,51,Cash
C102679,Male,57,Credit Card
C102683,Female,57,Debit Card
C102684,Female,31,Cash
C102685,Female,26,Cash
C102688,Male,24,Credit Card
C102690,Female,26,Cash
C102692,Female,63,Cash
C102693,Male,19,Debit Card
C102696,Male,58,Debit Card
C102697,Female,46,Credit Card
C102707,Male,25,Cash
C102708,Female,54,Credit Card
C102709,Male,23,Credit Card
C102710,Female,44,Cash
C102713,Male,64,Credit Card
C102715,Female,60,Cash
C102717,Male,41,Credit Card
C102718,Female,51,Cash
C102719,Female,38,Credit Card
C102732,Male,58,Credit Card
C102733,Female,67,Cash
C102734,Female,58,Cash
C102746,Female,23,Debit Card
C102753,Female,63,Cash
C102760,Male,24,Cash
C102761,Male,47,Credit Card
C102764,Female,18,Credit Card
C102765,Female,43,Cash
C102767,Male,54,Cash
C102773,Female,46,Credit Card
C102774,Male,36,Credit Card
C102775,Male,33,Debit Card
C102776,Male,64,Debit Card
C102777,Female,44,Cash
C102778,Female,60,Cash
C102780,Male,53,Cash
C102783,Female,28,Debit Card
C102785,Female,34,Credit Card
C102787,Female,53,Credit Card
C102793,Male,44,Credit Card
C102798,Female,50,Credit Card
C102799,Male,34,Cash
C102803,Male,57,Credit Card
C102809,Male,69,Cash
C102812,Female,61,Debit Card
C102817,Female,25,Cash
C102827,Male,52,Cash
C102829,Female,18,Credit Card
C102832,Female,41,Credit Card
C102837,Female,55,Cash
C102839,Female,55,Credit Card
C102843,Female,27,Cash
C102846,Female,46,Cash
C102849,Female,40,Debit Card
C102854,Female,29,Cash
C102860,Male,42,Debit Card
C102865,Female,59,Credit Card
C102866,Female,49,Cash
C102868,Female,28,Credit Card
C102869,Female,36,Debit Card
C102871,Male,61,Credit Card
C102872,Male,21,Credit Card
C102873,Female,33,Credit Card
C102875,Female,37,Cash
C102876,Female,46,Credit Card
C102878,Female,35,Debit Card
C102884,Male,56,Cash
C102885,Male,30,Credit Card
C102891,Male,65,Credit Card
C102893,Female,45,Debit Card
C102905,Male,51,Credit Card
C102908,Male,44,Cash
C102909,Female,53,Cash
C102913,Male,20,Credit Card
C102920,Male,50,Cash
C102921,Male,38,Credit Card
C102922,Female,33,Debit Card
C102923,Female,34,Debit Card
C102926,Male,41,Credit Card
C102927,Female,42,Cash
C102931,Female,64,Cash
C102933,Female,18,Credit Card
C102935,Female,50,Cash
C102940,Female,59,Credit Card
C102942,Male,64,Credit Card
C102947,Male,57,Cash
C102948,Female,34,Credit Card
C102952,Female,61,Credit Card
C102956,Male,25,Cash
C102957,Female,62,Cash
C102966,Female,28,Credit Card
C102967,Female,62,Debit Card
C102970,Male,62,Cash
C102978,Female,26,Credit Card
C102986,Female,60,Debit Card
C102989,Female,42,Cash
C102990,Female,44,Cash
C102995,Female,30,Credit Card
C102996,Female,46,Cash
C103000,Male,27,Cash
C103003,Female,33,Credit Card
C103006,Male,31,Credit Card
C103011,Male,38,Debit Card
C103013,Female,28,Cash
C103014,Female,18,Debit Card
C103019,Female,50,Credit Card
C103021,Female,32,Credit Card
C103027,Male,46,Credit Card
C103029,Male,38,Debit Card
C103030,Female,21,Cash
C103031,Female,51,Cash
C103035,Female,40,Cash
C103042,Male,32,Debit Card
C103043,Male,42,Cash
C103044,Female,20,Credit Card
C103055,Male,55,Cash
C103057,Female,52,Debit Card
C103065,Female,61,Debit Card
C103072,Female,61,Cash
C103073,Male,61,Cash
C103076,Male,55,Credit Card
C103078,Female,45,Credit Card
C103080,Female,50,Credit Card
C103090,Female,65,Cash
C103091,Female,61,Credit Card
C103093,Male,20,Credit Card
C103106,Female,23,Credit Card
C103108,Male,62,Credit Card
C103114,Male,37,Debit Card
C103115,Female,29,Cash
C103120,Female,41,Cash
C103126,Male,23,Credit Card
C103138,Male,43,Cash
C103152,Male,47,Cash
C103153,Female,57,Cash
C103156,Male,58,Cash
C103164,Female,49,Credit Card
C103167,Female,23,Cash
C103169,Male,60,Debit Card
C103171,Female,35,Cash
C103174,Female,23,Credit Card
C103175,Female,23,Credit Card
C103178,Male,62,Credit Card
C103180,Female,36,Credit Card
C103181,Female,64,Debit Card
C103182,Female,55,Cash
C103185,Male,20,Debit Card
C103186,Male,24,Debit Card
C103188,Female,20,Credit Card
C103194,Female,36,Cash
C103200,Male,42,Cash
C103201,Female,18,Cash
C103206,Female,18,Debit Card
C103207,Male,24,Credit Card
C103210,Male,36,Cash
C103211,Female,26,Debit Card
C103213,Female,61,Cash
C103218,Male,46,Cash
C103219,Female,56,Credit Card
C103220,Male,21,Cash
C103221,Male,48,Credit Card
C103226,Male,37,Debit Card
C103227,Male,53,Credit Card
C103229,Female,51,Credit Card
C103233,Female,50,Credit Card
C103234,Male,32,Cash
C103240,Female,28,Credit Card
C103241,Female,21,Cash
C103242,Female,45,Credit Card
